"lat","lon"
38.95822,-77.05495
41.98968,-71.78827
41.98968,-71.78827
41.98968,-71.78827
41.63587,-71.55863
41.63587,-71.55863
41.63587,-71.55863
41.63587,-71.55863
41.63587,-71.55863
40.796,-77.90387
36.8926,-82.6296
40.797,-76.412
40.7,-74.5
44.63553,-63.6437
42.71317,-84.37317
42.71317,-84.37317
42.71317,-84.37317
34.76128,-84.70864
34.76128,-84.70864
34.72242,-83.72228
42.43222,-71.33917
42.42972,-71.39083
42.43222,-71.33917
42.43222,-71.33917
42.43222,-71.33917
42.4225,-71.39611
42.42972,-71.39083
42.4225,-71.39611
42.43222,-71.33917
42.43222,-71.33917
42.43222,-71.33917
42.43222,-71.33917
42.43222,-71.33917
42.42972,-71.39083
42.43222,-71.33917
42.43222,-71.33917
42.43222,-71.33917
42.43222,-71.33917
42.4225,-71.39611
42.43222,-71.33917
42.43222,-71.33917
42.4225,-71.39611
42.4225,-71.39611
42.43222,-71.33917
42.43222,-71.33917
23.61511,-99.20344
43.91957,-70.03943
43.91957,-70.03943
43.91957,-70.03943
43.91957,-70.03943
43.91957,-70.03943
43.91957,-70.03943
43.91957,-70.03943
43.91957,-70.03943
39.03333,-79.31667
39.03333,-79.31667
39.03333,-79.31667
39.03333,-79.31667
39.13333,-79.21667
39.13333,-79.21667
39.13333,-79.21667
39.13333,-79.21667
39.13333,-79.21667
39.13333,-79.21667
39.03333,-79.31667
39.03333,-79.31667
39.03333,-79.31667
39.03333,-79.31667
39.03333,-79.31667
45.56667,-84.66667
45.56667,-84.66667
45.56667,-84.66667
39.03333,-79.31667
45.56667,-84.66667
35.56667,-83.1
35.56667,-83.1
35.56667,-83.1
35.56667,-83.1
39.7836,-84.0636
39.7836,-84.0636
38.48333,-78.33333
38.48333,-78.33333
38.48333,-78.33333
38.48333,-78.33333
38.48333,-78.33333
38.48333,-78.33333
38.53333,-78.35
38.48333,-78.33333
38.48333,-78.33333
38.48333,-78.33333
38.48333,-78.33333
38.53333,-78.35
38.48333,-78.33333
38.48333,-78.33333
38.48333,-78.33333
38.48333,-78.33333
38.48333,-78.33333
38.48333,-78.33333
38.48333,-78.33333
38.53333,-78.35
38.48333,-78.33333
39.4306,-82.5672
39.4306,-82.5672
39.4306,-82.5672
39.4306,-82.5672
40.16,-77.68681
42.03336,-87.8834
37.55056,-88.67056
37.49841,-88.53369
40.11056,-88.20722
38.00306,-89.37111
36.45389,-94.115
36.45389,-94.115
37.96,-91.53
37.9846,-91.7312
37.9846,-91.7312
37.9846,-91.7312
37.9846,-91.7312
37.96,-91.53
36.45389,-94.115
36.45389,-94.115
36.45389,-94.115
37.9846,-91.7312
37.9846,-91.7312
37.9846,-91.7312
37.9846,-91.7312
36.45389,-94.115
37.9846,-91.7312
37.95139,-91.77111
40.123,-90.231
42.4175,-87.8161
42.4604,-89.2399
39.877,-90.373
40.11056,-88.20722
40.11056,-88.20722
40.26,-89.91
40.1206,-88.9244
40.962,-90.939
40.962,-90.939
40.11056,-88.20722
40.1321,-88.1415
40.11056,-88.20722
40.835,-89.588
40.145,-88.166
40.145,-88.166
40.1321,-88.1415
40.1321,-88.1415
40.145,-88.166
40.145,-88.166
40.145,-88.166
38.20333,-92.62333
38.20333,-92.62333
40.1402,-87.6982
35.5455,-82.1807
37.9846,-91.7312
35.781,-94.252
35.781,-94.252
38.00306,-89.37111
38.00306,-89.37111
42.06538,-71.24783
40.13,-88.2
37.38318,-88.66031
37.38318,-88.66031
40.351,-88.4128
35.54176,-83.49322
35.64207,-83.443
35.64207,-83.443
35.69249,-83.50277
35.51315,-83.30608
35.51315,-83.30608
35.64207,-83.443
35.51315,-83.30608
35.54176,-83.49322
35.69249,-83.50277
35.70704,-83.38294
35.67176,-83.58072
35.64207,-83.443
38.24041,-78.71058
41.52709,-79.1114
41.52709,-79.1114
38.24041,-78.71058
41.52709,-79.1114
41.193,-90.4329
42.33176,-71.12116
43.66651,-73.51124
43.66651,-73.51124
43.66651,-73.51124
40.4655,-88.3762
37.605,-89.188
37.673,-89.172
35.781,-94.252
39.73722,-87.605
39.39139,-87.69361
33.48566,-85.80913
37.58028,-88.43611
40.19186,-88.39956
40.19186,-88.39956
39.49611,-88.17611
38.26722,-90.1525
37.38318,-88.66031
42.21194,-88.23806
37.605,-89.188
40.11056,-88.20722
37.605,-89.188
37.58028,-88.43611
36.365,-89.40361
38.81139,-89.95306
38.97,-90.43139
40.1272,-90.3676
40.2275,-90.35944
37.46028,-89.24694
42.417,-87.812
41.37167,-87.8825
40.677,-89.6
41.74083,-87.86028
37.5042,-89.4384
40.08611,-88.51278
40.08611,-88.51278
40.08611,-88.51278
40.08611,-88.51278
40.08611,-88.51278
40.08611,-88.51278
40.08611,-88.51278
40.08611,-88.51278
40.08611,-88.51278
40.08611,-88.51278
40.08611,-88.51278
40.08611,-88.51278
40.08611,-88.51278
40.08611,-88.51278
40.08611,-88.51278
40.08611,-88.51278
40.69361,-89.58889
40.08611,-88.51278
40.08611,-88.51278
40.08611,-88.51278
40.08611,-88.51278
40.10694,-88.42667
41.526,-87.889
40.11056,-88.20722
40.11056,-88.20722
40.11056,-88.20722
40.11056,-88.20722
40.11056,-88.20722
40.11056,-88.20722
40.11056,-88.20722
39.48306,-88.37278
42.4463,-90.0527
40.11056,-88.20722
40.11056,-88.20722
40.08299,-87.78013
40.11056,-88.20722
40.08299,-87.78013
40.9458,-81.4833
40.08299,-87.78013
41.5006,-81.1664
41.5006,-81.1664
41.1167,-81.5333
41.5006,-81.1664
41.5006,-81.1664
41.5006,-81.1664
41.1167,-81.5333
41.1167,-81.5333
41.5006,-81.1664
41.5006,-81.1664
41.5006,-81.1664
41.1167,-81.5333
41.1167,-81.5333
41.5006,-81.1664
41.5006,-81.1664
41.5006,-81.1664
41.5006,-81.1664
41.5006,-81.1664
41.1167,-81.5333
41.1167,-81.5333
41.5006,-81.1664
41.5006,-81.1664
41.5006,-81.1664
41.1167,-81.5333
41.1167,-81.5333
41.5006,-81.1664
41.5006,-81.1664
41.5006,-81.1664
41.5006,-81.1664
37.46028,-89.24694
36.37833,-89.47194
36.37833,-89.47194
37.5702,-88.8001
40.11056,-88.20722
40.11056,-88.20722
40.11056,-88.20722
40.11056,-88.20722
40.1106,-88.2072
40.1106,-88.2072
34.72,-83.72
41.65,-82.8208
41.65,-82.8208
38.94978,-78.29942
42.17,-88.29
41.48,-82.6825
38.9491,-78.29864
40.11056,-88.20722
41.65,-82.8208
41.65,-82.8208
38.9491,-78.29864
38.94978,-78.29942
35.51749,-86.58045
41.65,-82.8208
41.65,-82.8208
41.65,-82.8208
42.46069,-71.15548
42.46069,-71.15548
42.46069,-71.15548
41.48,-82.6825
41.65,-82.8208
38.94978,-78.29942
34.76,-84.71
40.11056,-88.20722
41.65,-82.8208
42.46069,-71.15548
41.48,-82.6825
34.76,-84.71
23.62,-99.2
