"X"	"Y"	"maxTwarmest.baseline"	"maxTwarmest.2050"
-10.25	52.083	14.7	16.1
-10.25	51.917	14.7	16.1
-10.25	52.083	14.8	16.2
-10.25	52.25	14.1	15.4
-10.083	51.75	14.7	16.2
-10.083	51.917	14.5	16
-10.083	52.083	14.5	15.9
-10.083	52.25	14.2	15.5
-10.083	53.417	14.8	16.3
-10.083	53.583	14.5	15.9
-10.083	53.917	14.1	15.5
-10.083	54.25	14.3	15.5
-9.917	51.75	14.8	16.2
-9.917	51.917	14.3	15.8
-9.917	52.083	15	16.4
-9.917	52.25	14.4	15.8
-9.917	53.417	14.6	16.2
-9.917	53.583	14	15.6
-9.917	53.75	14.4	15.9
-9.917	53.917	14.1	15.5
-9.917	54.083	14.4	15.7
-9.917	54.25	14.3	15.6
-9.75	51.583	15.1	16.6
-9.75	51.75	14.6	16.2
-9.75	51.917	14.3	15.9
-9.75	52.083	14.9	16.5
-9.75	52.25	14.8	16.3
-9.75	52.417	15.1	16.6
-9.75	52.583	15.3	16.8
-9.75	53.417	14.5	16.2
-9.75	53.583	13.8	15.4
-9.75	53.75	14	15.6
-9.75	53.917	14	15.5
-9.75	54.083	14	15.4
-9.75	54.25	14.1	15.4
-9.583	51.583	15.2	16.8
-9.583	51.75	14.6	16.3
-9.583	51.917	14.6	16.3
-9.583	52.083	15	16.7
-9.583	52.25	15	16.7
-9.583	52.417	15.1	16.8
-9.583	52.583	15.2	16.9
-9.583	52.75	15.4	17.1
-9.583	53.25	15.1	16.9
-9.583	53.417	14.5	16.2
-9.583	53.583	13.8	15.4
-9.583	53.75	14.1	15.7
-9.583	53.917	14.1	15.6
-9.583	54.083	13.9	15.4
-9.583	54.25	13.8	15.3
-9.417	38.75	22.6	24.3
-9.417	38.917	22.6	24.9
-9.417	39.083	22.8	25
-9.417	51.583	15.3	17
-9.417	51.75	14.7	16.5
-9.417	51.917	14.3	16.1
-9.417	52.083	14.9	16.7
-9.417	52.25	14.8	16.6
-9.417	52.417	15.1	16.9
-9.417	52.583	15.4	17.2
-9.417	52.75	15.3	17.1
-9.417	52.917	15	16.8
-9.417	53.25	14.9	16.7
-9.417	53.417	14.6	16.3
-9.417	53.583	14.5	16.2
-9.417	53.75	14.3	15.9
-9.417	53.917	14.2	15.7
-9.417	54.083	14.1	15.6
-9.417	54.25	13.9	15.4
-9.25	38.583	23.1	25.2
-9.25	38.75	22.8	25.2
-9.25	38.917	22.5	25.6
-9.25	39.083	22.9	26.3
-9.25	39.25	22.7	25.9
-9.25	39.417	22.7	26
-9.25	42.917	19.1	22.4
-9.25	43.083	18.9	22.2
-9.25	51.583	15.3	17.2
-9.25	51.75	14.6	16.6
-9.25	51.917	14.5	16.4
-9.25	52.083	14.6	16.6
-9.25	52.25	14.5	16.3
-9.25	52.417	15	16.8
-9.25	52.583	15.4	17.2
-9.25	52.75	15.2	17
-9.25	52.917	15.1	17
-9.25	53.083	14.8	16.6
-9.25	53.25	14.9	16.8
-9.25	53.417	14.9	16.7
-9.25	53.583	14.8	16.5
-9.25	53.75	14.6	16.3
-9.25	53.917	14.4	16
-9.25	54.083	14.5	16
-9.25	54.25	14.4	15.8
-9.083	38.417	23	25.2
-9.083	38.583	23.5	25.7
-9.083	38.75	23.5	26.1
-9.083	38.917	23	26.4
-9.083	39.083	22.8	26.5
-9.083	39.25	22.8	26.6
-9.083	39.417	22.8	26.4
-9.083	39.583	22.7	26.2
-9.083	42.583	19.8	23.1
-9.083	42.75	19.2	22.7
-9.083	42.917	18.3	21.9
-9.083	43.083	18.6	22.1
-9.083	51.583	15.2	17.2
-9.083	51.75	15.1	17.2
-9.083	51.917	14.8	16.9
-9.083	52.083	14.9	16.9
-9.083	52.25	14.6	16.5
-9.083	52.417	15.2	17.1
-9.083	52.583	15.5	17.4
-9.083	52.75	15.4	17.3
-9.083	52.917	15.3	17.2
-9.083	53.083	15	16.9
-9.083	53.25	15.3	17.2
-9.083	53.417	15.1	16.8
-9.083	53.583	14.7	16.4
-9.083	53.75	14.5	16.1
-9.083	53.917	14.5	16
-9.083	54.083	14.4	15.8
-9.083	54.25	14.4	15.9
-8.917	37.083	21.8	23.6
-8.917	38.583	23.6	25.9
-8.917	38.75	23.8	26.5
-8.917	38.917	23.8	27
-8.917	39.083	23.4	27.1
-8.917	39.25	23.1	27
-8.917	39.417	22.4	26.4
-8.917	39.583	22.4	26.2
-8.917	39.75	22.5	26.1
-8.917	39.917	22.6	26.1
-8.917	40.083	22.4	25.8
-8.917	40.25	22	25.4
-8.917	41.917	19.7	22.8
-8.917	42.583	19.6	23
-8.917	42.75	19.2	22.7
-8.917	42.917	18.3	22.1
-8.917	43.083	18.2	21.9
-8.917	43.25	18.9	22.5
-8.917	51.583	15.5	17.6
-8.917	51.75	15.3	17.3
-8.917	51.917	14.9	17
-8.917	52.083	14.8	16.8
-8.917	52.25	15.1	17.1
-8.917	52.417	15.4	17.4
-8.917	52.583	15.9	17.8
-8.917	52.75	15.9	17.8
-8.917	52.917	15.4	17.3
-8.917	53.083	15.4	17.3
-8.917	53.25	15.4	17.2
-8.917	53.417	15	16.8
-8.917	53.583	14.8	16.4
-8.917	53.75	14.6	16.2
-8.917	53.917	14.4	16.1
-8.917	54.083	13.9	15.3
-8.917	54.25	14.2	15.6
-8.917	70.917	2.9	4.3
-8.75	37.083	22.1	24.2
-8.75	37.25	22	24.1
-8.75	37.417	22.4	24.4
-8.75	37.583	22.9	24.8
-8.75	37.75	22.9	24.8
-8.75	37.917	23.1	25
-8.75	38.083	23.3	25.3
-8.75	38.25	23.7	25.8
-8.75	38.417	23.9	26.2
-8.75	38.583	23.9	26.3
-8.75	38.75	23.9	26.7
-8.75	38.917	23.9	27
-8.75	39.083	23.7	27.4
-8.75	39.25	23.4	27.3
-8.75	39.417	22.8	26.7
-8.75	39.583	21.9	25.8
-8.75	39.75	22.5	26.4
-8.75	39.917	22.5	26.3
-8.75	40.083	22.6	26.3
-8.75	40.25	22.3	26
-8.75	40.417	22	25.8
-8.75	40.583	21.8	25.5
-8.75	41.25	20.4	23.9
-8.75	41.417	20.4	23.7
-8.75	41.583	20.2	23.4
-8.75	41.75	19.8	22.9
-8.75	41.917	20	23.2
-8.75	42.083	19.5	22.7
-8.75	42.25	20	23.3
-8.75	42.417	19.9	23.3
-8.75	42.583	20	23.5
-8.75	42.75	19.1	22.6
-8.75	42.917	18.6	22.4
-8.75	43.083	18	21.7
-8.75	43.25	18.9	22.5
-8.75	51.583	15.6	17.7
-8.75	51.75	15.4	17.4
-8.75	51.917	15.3	17.3
-8.75	52.083	15	17
-8.75	52.25	15.2	17.2
-8.75	52.417	15.5	17.4
-8.75	52.583	15.8	17.7
-8.75	52.75	15.5	17.4
-8.75	52.917	15.1	17
-8.75	53.083	15.3	17.1
-8.75	53.25	15.3	17.1
-8.75	53.417	15	16.7
-8.75	53.583	14.8	16.4
-8.75	53.75	14.6	16.1
-8.75	53.917	14.3	15.9
-8.75	54.083	14.1	15.5
-8.75	54.25	13.7	15.1
-8.75	54.75	13	14.1
-8.75	70.917	3.3	4.7
-8.583	37.083	22.7	24.8
-8.583	37.25	22	24.1
-8.583	37.417	22.1	24.3
-8.583	37.583	22.9	25
-8.583	37.75	23.1	25.1
-8.583	37.917	23.3	25.4
-8.583	38.083	23.2	25.4
-8.583	38.25	23.8	26
-8.583	38.417	24	26.4
-8.583	38.583	24	26.4
-8.583	38.75	24	26.8
-8.583	38.917	24	27.4
-8.583	39.083	23.8	27.5
-8.583	39.25	23.8	27.6
-8.583	39.417	23.6	27.3
-8.583	39.583	22.6	26.5
-8.583	39.75	22.4	26.4
-8.583	39.917	22.5	26.4
-8.583	40.083	22.7	26.5
-8.583	40.25	22.5	26.3
-8.583	40.417	22.1	25.9
-8.583	40.583	21.9	25.7
-8.583	40.75	21.6	25.3
-8.583	40.917	21	24.7
-8.583	41.083	20.6	24.3
-8.583	41.25	20.4	23.9
-8.583	41.417	20.4	23.8
-8.583	41.583	20.4	23.6
-8.583	41.75	20.2	23.3
-8.583	41.917	19.3	22.5
-8.583	42.083	20.5	23.7
-8.583	42.25	19.9	23.2
-8.583	42.417	19.9	23.3
-8.583	42.583	19.6	23
-8.583	42.75	19.6	23.3
-8.583	42.917	18.9	22.6
-8.583	43.083	18.1	21.8
-8.583	43.25	18.6	22.2
-8.583	51.75	15.5	17.5
-8.583	51.917	15.3	17.3
-8.583	52.083	15.1	17.1
-8.583	52.25	15.2	17.1
-8.583	52.417	15.4	17.3
-8.583	52.583	15.5	17.5
-8.583	52.75	15.3	17.3
-8.583	52.917	15	16.9
-8.583	53.083	14.8	16.6
-8.583	53.25	15.1	16.9
-8.583	53.417	15	16.7
-8.583	53.583	14.8	16.5
-8.583	53.75	14.7	16.3
-8.583	53.917	14.5	16
-8.583	54.083	14.4	15.8
-8.583	54.25	14.4	15.7
-8.583	54.417	14.6	15.8
-8.583	54.583	13.8	14.9
-8.583	54.75	13.3	14.4
-8.417	37.083	22.9	25.1
-8.417	37.25	22.7	25
-8.417	37.417	22.7	25
-8.417	37.583	22.8	25.1
-8.417	37.75	23.4	25.6
-8.417	37.917	23.9	26
-8.417	38.083	23.9	26.2
-8.417	38.25	24.2	26.5
-8.417	38.417	24.1	26.6
-8.417	38.583	24	26.6
-8.417	38.75	24	27.1
-8.417	38.917	24.2	27.6
-8.417	39.083	23.9	27.4
-8.417	39.25	23.8	27.3
-8.417	39.417	23.7	27.4
-8.417	39.583	23.4	27.2
-8.417	39.75	22.9	26.7
-8.417	39.917	22.3	26.2
-8.417	40.083	22.4	26.3
-8.417	40.25	22.5	26.3
-8.417	40.417	22.2	26
-8.417	40.583	21.9	25.7
-8.417	40.75	20.9	24.6
-8.417	40.917	20.5	24.2
-8.417	41.083	20.9	24.5
-8.417	41.25	20.3	23.8
-8.417	41.417	20.5	23.8
-8.417	41.583	20.6	23.8
-8.417	41.75	20.1	23.3
-8.417	41.917	19.5	22.7
-8.417	42.083	20.3	23.5
-8.417	42.25	19.3	22.6
-8.417	42.417	18.3	21.6
-8.417	42.583	18.4	21.9
-8.417	42.75	19.5	23.1
-8.417	42.917	18.8	22.5
-8.417	43.083	18.4	22.1
-8.417	43.25	18.7	22.3
-8.417	51.75	15.5	17.6
-8.417	51.917	15.4	17.4
-8.417	52.083	15.1	17.1
-8.417	52.25	15.3	17.3
-8.417	52.417	15.2	17.1
-8.417	52.583	15.5	17.3
-8.417	52.75	15.3	17.1
-8.417	52.917	15.1	17
-8.417	53.083	15.1	16.9
-8.417	53.25	15.1	17
-8.417	53.417	15	16.8
-8.417	53.583	14.8	16.6
-8.417	53.75	14.8	16.4
-8.417	53.917	14.6	16.1
-8.417	54.083	14.3	15.8
-8.417	54.25	14.3	15.6
-8.417	54.417	13.8	15.1
-8.417	54.583	14.2	15.4
-8.417	54.75	13.8	14.8
-8.417	54.917	14	15.1
-8.417	71.083	3	4.4
-8.25	37.083	23.1	25.4
-8.25	37.25	23	25.3
-8.25	37.417	22.7	25
-8.25	37.583	23.2	25.6
-8.25	37.75	23.6	26
-8.25	37.917	24.1	26.5
-8.25	38.083	24.3	26.7
-8.25	38.25	24.5	26.9
-8.25	38.417	24.1	26.7
-8.25	38.583	23.8	26.6
-8.25	38.75	24.1	27.2
-8.25	38.917	24.4	27.8
-8.25	39.083	24.1	27.5
-8.25	39.25	23.8	27.3
-8.25	39.417	23.9	27.5
-8.25	39.583	23.4	27.1
-8.25	39.75	22.9	26.7
-8.25	39.917	22.1	26
-8.25	40.083	21.6	25.5
-8.25	40.25	22.5	26.3
-8.25	40.417	22.1	25.8
-8.25	40.583	20.6	24.4
-8.25	40.75	20.5	24.2
-8.25	40.917	20	23.7
-8.25	41.083	20.9	24.5
-8.25	41.25	20.7	24.1
-8.25	41.417	20.5	23.8
-8.25	41.583	20.4	23.6
-8.25	41.75	19.1	22.4
-8.25	41.917	18.2	21.4
-8.25	42.083	19.2	22.4
-8.25	42.25	18.7	22
-8.25	42.417	18.5	21.8
-8.25	42.583	17.9	21.4
-8.25	42.75	19	22.7
-8.25	42.917	18.7	22.3
-8.25	43.083	18.3	21.9
-8.25	43.25	19.2	22.8
-8.25	43.417	19.1	22.6
-8.25	43.583	18.9	22
-8.25	51.917	15.4	17.5
-8.25	52.083	15.4	17.4
-8.25	52.25	15.1	17
-8.25	52.417	14.8	16.7
-8.25	52.583	15.2	17
-8.25	52.75	14.6	16.4
-8.25	52.917	15.3	17.1
-8.25	53.083	15.2	17.1
-8.25	53.25	15.1	16.9
-8.25	53.417	15	16.8
-8.25	53.583	14.9	16.7
-8.25	53.75	14.8	16.4
-8.25	53.917	14.7	16.1
-8.25	54.083	14.2	15.5
-8.25	54.25	14.1	15.4
-8.25	54.417	13.8	15
-8.25	54.583	14.2	15.3
-8.25	54.75	13.6	14.7
-8.25	54.917	13.5	14.6
-8.25	55.083	13.6	14.7
-8.25	71.083	0.8	2.2
-8.083	37.083	23.3	25.9
-8.083	37.25	22.8	25.3
-8.083	37.417	22.7	25.2
-8.083	37.583	23.4	25.8
-8.083	37.75	23.9	26.3
-8.083	37.917	24.2	26.6
-8.083	38.083	24.4	26.9
-8.083	38.25	24.5	27
-8.083	38.417	24.2	26.9
-8.083	38.583	23.7	26.4
-8.083	38.75	24	27.1
-8.083	38.917	24.5	27.8
-8.083	39.083	24.3	27.8
-8.083	39.25	24.2	27.7
-8.083	39.417	24.2	27.7
-8.083	39.583	23.4	27.1
-8.083	39.75	23	26.8
-8.083	39.917	22.2	26.1
-8.083	40.083	21.3	25.2
-8.083	40.25	22.6	26.4
-8.083	40.417	22.4	26.2
-8.083	40.583	21.3	25
-8.083	40.75	21	24.6
-8.083	40.917	19.9	23.6
-8.083	41.083	20.4	23.9
-8.083	41.25	21	24.4
-8.083	41.417	20	23.3
-8.083	41.583	19.3	22.6
-8.083	41.75	18.2	21.5
-8.083	41.917	18.8	22.1
-8.083	42.083	17.8	21.2
-8.083	42.25	20.6	24
-8.083	42.417	19.7	23.2
-8.083	42.583	18.2	21.7
-8.083	42.75	18.5	22.1
-8.083	42.917	18.6	22.1
-8.083	43.083	17.8	21.4
-8.083	43.25	18.1	21.8
-8.083	43.417	18.2	21.6
-8.083	43.583	18.5	21.5
-8.083	51.917	15.4	17.5
-8.083	52.083	15.3	17.3
-8.083	52.25	14.9	16.8
-8.083	52.417	14.7	16.6
-8.083	52.583	14.9	16.7
-8.083	52.75	14.6	16.4
-8.083	52.917	15.1	17
-8.083	53.083	15.2	17.1
-8.083	53.25	15.2	17
-8.083	53.417	14.9	16.7
-8.083	53.583	14.9	16.7
-8.083	53.75	14.8	16.4
-8.083	53.917	14.7	16.1
-8.083	54.083	14.4	15.7
-8.083	54.25	13.9	15
-8.083	54.417	14.1	15.2
-8.083	54.583	13.7	14.8
-8.083	54.75	13.1	14.2
-8.083	54.917	13.3	14.2
-8.083	55.083	13.3	14.3
-8.083	71.083	1.2	2.6
-7.917	37.083	23.5	26.2
-7.917	37.25	22.6	25.2
-7.917	37.417	23.2	25.8
-7.917	37.583	23.8	26.4
-7.917	37.75	24.3	26.8
-7.917	37.917	24.4	26.9
-7.917	38.083	24.6	27.1
-7.917	38.25	24.5	27.1
-7.917	38.417	24.3	26.9
-7.917	38.583	24.1	26.8
-7.917	38.75	24.2	27.1
-7.917	38.917	24.5	27.7
-7.917	39.083	24.4	27.8
-7.917	39.25	24.3	27.8
-7.917	39.417	24.1	27.8
-7.917	39.583	23.8	27.5
-7.917	39.75	22.7	26.6
-7.917	39.917	21.8	25.6
-7.917	40.083	21.6	25.4
-7.917	40.25	21.8	25.6
-7.917	40.417	22.5	26.2
-7.917	40.583	22	25.6
-7.917	40.75	21.1	24.8
-7.917	40.917	19.7	23.4
-7.917	41.083	19.9	23.4
-7.917	41.25	19.6	23
-7.917	41.417	20.7	24.1
-7.917	41.583	19.1	22.5
-7.917	41.75	18.2	21.6
-7.917	41.917	17.9	21.3
-7.917	42.083	18.8	22.2
-7.917	42.25	20.4	23.9
-7.917	42.417	20.1	23.6
-7.917	42.583	18	21.4
-7.917	42.75	18.1	21.7
-7.917	42.917	18	21.6
-7.917	43.083	17.5	21
-7.917	43.25	17.3	20.8
-7.917	43.417	17.4	20.8
-7.917	43.583	18	20.7
-7.917	43.75	17.9	20
-7.917	51.917	15.6	17.7
-7.917	52.083	15.4	17.4
-7.917	52.25	14.8	16.7
-7.917	52.417	15.3	17.2
-7.917	52.583	15.2	17.1
-7.917	52.75	15	16.8
-7.917	52.917	14.9	16.7
-7.917	53.083	15.2	17
-7.917	53.25	15.2	17
-7.917	53.417	15	16.8
-7.917	53.583	15	16.7
-7.917	53.75	14.9	16.5
-7.917	53.917	14.7	16.1
-7.917	54.083	13.9	15.2
-7.917	54.25	13.9	15.1
-7.917	54.417	13.9	15
-7.917	54.583	13.7	14.7
-7.917	54.75	13.4	14.3
-7.917	54.917	13.4	14.4
-7.917	55.083	13.6	14.7
-7.75	37.083	23.9	26.7
-7.75	37.25	23.4	26.1
-7.75	37.417	23.8	26.4
-7.75	37.583	24.4	26.9
-7.75	37.75	24.6	27.1
-7.75	37.917	24.8	27.3
-7.75	38.083	24.9	27.5
-7.75	38.25	24.5	27.1
-7.75	38.417	24.7	27.3
-7.75	38.583	24.5	27.2
-7.75	38.75	24.4	27.3
-7.75	38.917	24.6	27.7
-7.75	39.083	24.7	28.2
-7.75	39.25	24.6	28.1
-7.75	39.417	24.3	27.9
-7.75	39.583	24.4	28.1
-7.75	39.75	23.8	27.6
-7.75	39.917	22.7	26.4
-7.75	40.083	22.1	25.9
-7.75	40.25	21.4	25.1
-7.75	40.417	22	25.7
-7.75	40.583	22.1	25.8
-7.75	40.75	21.2	24.8
-7.75	40.917	19.8	23.4
-7.75	41.083	20.9	24.4
-7.75	41.25	21	24.4
-7.75	41.417	18.9	22.4
-7.75	41.583	19.9	23.3
-7.75	41.75	18.5	21.9
-7.75	41.917	18	21.5
-7.75	42.083	19.5	22.9
-7.75	42.25	20.1	23.5
-7.75	42.417	19.9	23.4
-7.75	42.583	19.2	22.6
-7.75	42.75	18.6	22
-7.75	42.917	18	21.5
-7.75	43.083	17.8	21.3
-7.75	43.25	17.6	21
-7.75	43.417	17	20.2
-7.75	43.583	17.3	19.8
-7.75	43.75	18.4	20.3
-7.75	51.917	15.6	17.7
-7.75	52.083	15.4	17.4
-7.75	52.25	15	16.9
-7.75	52.417	15.3	17.2
-7.75	52.583	15.1	16.9
-7.75	52.75	15.1	16.9
-7.75	52.917	14.9	16.7
-7.75	53.083	14.8	16.6
-7.75	53.25	15.2	17
-7.75	53.417	15.1	16.8
-7.75	53.583	15	16.7
-7.75	53.75	15	16.5
-7.75	53.917	14.9	16.2
-7.75	54.083	14.6	15.8
-7.75	54.25	14.1	15.2
-7.75	54.417	14.4	15.4
-7.75	54.583	13.8	14.8
-7.75	54.75	13.8	14.8
-7.75	54.917	13.8	14.8
-7.75	55.083	13.8	14.8
-7.75	55.25	14.1	15.1
-7.583	37.25	24.2	26.9
-7.583	37.417	24.3	27
-7.583	37.583	24.8	27.4
-7.583	37.75	24.9	27.4
-7.583	37.917	25.1	27.6
-7.583	38.083	25.3	27.8
-7.583	38.25	25	27.6
-7.583	38.417	25	27.6
-7.583	38.583	24.8	27.5
-7.583	38.75	24.4	27.3
-7.583	38.917	24.6	27.9
-7.583	39.083	24.8	28.3
-7.583	39.25	24.6	28.1
-7.583	39.417	24.4	28
-7.583	39.583	24.6	28.3
-7.583	39.75	24.3	28
-7.583	39.917	23.9	27.6
-7.583	40.083	22.4	26.1
-7.583	40.25	20.8	24.5
-7.583	40.417	19.3	23
-7.583	40.583	22.2	25.8
-7.583	40.75	21.4	24.9
-7.583	40.917	20.6	24.1
-7.583	41.083	21.1	24.6
-7.583	41.25	21.1	24.5
-7.583	41.417	19.7	23.2
-7.583	41.583	20.3	23.7
-7.583	41.75	20.1	23.5
-7.583	41.917	19.7	23.1
-7.583	42.083	19.5	22.9
-7.583	42.25	19	22.4
-7.583	42.417	19.8	23.2
-7.583	42.583	19.6	23
-7.583	42.75	18.7	22.1
-7.583	42.917	18.5	21.9
-7.583	43.083	18.1	21.5
-7.583	43.25	17.7	21.2
-7.583	43.417	16.5	19.5
-7.583	43.583	17.5	20
-7.583	43.75	18.5	20.4
-7.583	52.083	15.3	17.3
-7.583	52.25	14.2	16.2
-7.583	52.417	15.1	17
-7.583	52.583	15	16.8
-7.583	52.75	14.9	16.8
-7.583	52.917	15	16.8
-7.583	53.083	14.5	16.2
-7.583	53.25	15.2	17
-7.583	53.417	15.1	16.8
-7.583	53.583	15.1	16.7
-7.583	53.75	15	16.6
-7.583	53.917	14.8	16.2
-7.583	54.083	14.7	15.9
-7.583	54.25	14.7	15.7
-7.583	54.417	14	15
-7.583	54.583	13.7	14.6
-7.583	54.75	14.1	15
-7.583	54.917	14.1	15
-7.583	55.083	14	15
-7.583	55.25	13.9	14.9
-7.417	37.25	24.9	27.6
-7.417	37.417	24.9	27.6
-7.417	37.583	25	27.6
-7.417	37.75	25	27.6
-7.417	37.917	24.9	27.5
-7.417	38.083	25.2	27.8
-7.417	38.25	25.5	28
-7.417	38.417	25.3	27.9
-7.417	38.583	25.2	27.8
-7.417	38.75	24.7	27.8
-7.417	38.917	24.9	28.3
-7.417	39.083	24.8	28.4
-7.417	39.25	24.4	27.9
-7.417	39.417	24.2	27.8
-7.417	39.583	24.8	28.4
-7.417	39.75	24.8	28.4
-7.417	39.917	24.2	27.9
-7.417	40.083	23.3	27
-7.417	40.25	22.9	26.6
-7.417	40.417	21.2	24.9
-7.417	40.583	21.6	25.2
-7.417	40.75	21.4	25
-7.417	40.917	20.7	24.2
-7.417	41.083	21.4	24.8
-7.417	41.25	21.7	25.1
-7.417	41.417	21.2	24.6
-7.417	41.583	20.5	23.9
-7.417	41.75	21	24.4
-7.417	41.917	20.9	24.3
-7.417	42.083	18.8	22.1
-7.417	42.25	17.5	20.8
-7.417	42.417	19.6	23
-7.417	42.583	19.9	23.3
-7.417	42.75	18.9	22.3
-7.417	42.917	18.7	22.1
-7.417	43.083	17.8	21.2
-7.417	43.25	17.6	21.1
-7.417	43.417	17.3	20.6
-7.417	43.583	18.2	21.1
-7.417	52.25	15.3	17.2
-7.417	52.417	15.3	17.2
-7.417	52.583	15.2	17
-7.417	52.75	15.1	16.8
-7.417	52.917	15.2	17
-7.417	53.083	14.9	16.7
-7.417	53.25	15.2	16.9
-7.417	53.417	15.1	16.8
-7.417	53.583	15	16.7
-7.417	53.75	15	16.6
-7.417	53.917	14.9	16.2
-7.417	54.083	14.8	15.9
-7.417	54.25	14.7	15.6
-7.417	54.417	14	15
-7.417	54.583	14.2	15.1
-7.417	54.75	14.1	15.1
-7.417	54.917	14.3	15.2
-7.417	55.083	13.9	14.9
-7.417	55.25	13.6	14.5
-7.417	57.25	13.5	14.2
-7.417	57.417	13.6	14.3
-7.417	57.583	13.2	14
-7.417	62.083	10.2	11.3
-7.25	37.25	25.1	27.9
-7.25	37.417	25	27.7
-7.25	37.583	25	27.6
-7.25	37.75	25.2	27.7
-7.25	37.917	25.2	27.8
-7.25	38.083	25.4	28
-7.25	38.25	25.5	28.1
-7.25	38.417	25.5	28.1
-7.25	38.583	25.6	28.2
-7.25	38.75	25.5	28.6
-7.25	38.917	25	28.5
-7.25	39.083	25.2	28.7
-7.25	39.25	24.4	28
-7.25	39.417	24.6	28.1
-7.25	39.583	25	28.5
-7.25	39.75	25.1	28.7
-7.25	39.917	24.8	28.4
-7.25	40.083	24	27.6
-7.25	40.25	23.1	26.7
-7.25	40.417	22	25.7
-7.25	40.583	21.6	25.2
-7.25	40.75	22.1	25.6
-7.25	40.917	21.9	25.4
-7.25	41.083	22.2	25.6
-7.25	41.25	21.3	24.8
-7.25	41.417	22.2	25.6
-7.25	41.583	22.3	25.7
-7.25	41.75	20.9	24.2
-7.25	41.917	20.1	23.5
-7.25	42.083	18.7	22
-7.25	42.25	17.7	21
-7.25	42.417	19.9	23.2
-7.25	42.583	18.5	21.8
-7.25	42.75	17.8	21.1
-7.25	42.917	18	21.4
-7.25	43.083	17.5	20.9
-7.25	43.25	17.7	21.2
-7.25	43.417	18.1	21.4
-7.25	43.583	18.8	21.6
-7.25	52.25	15.4	17.4
-7.25	52.417	15.1	17.1
-7.25	52.583	15.4	17.2
-7.25	52.75	15.1	16.9
-7.25	52.917	15	16.7
-7.25	53.083	15.1	16.9
-7.25	53.25	15.3	16.9
-7.25	53.417	15	16.7
-7.25	53.583	15	16.6
-7.25	53.75	15	16.5
-7.25	53.917	14.7	16.1
-7.25	54.083	14.9	16
-7.25	54.25	14.6	15.5
-7.25	54.417	14.3	15.2
-7.25	54.583	14.4	15.3
-7.25	54.75	13.8	14.7
-7.25	54.917	14	14.9
-7.25	55.083	14	14.9
-7.25	55.25	13.8	14.7
-7.25	57.25	13	13.7
-7.25	57.417	13.6	14.3
-7.25	57.583	13.4	14.1
-7.25	62.083	10.3	11.4
-7.25	62.25	9.3	10.4
-7.083	37.25	25.5	28.3
-7.083	37.417	25.4	28.2
-7.083	37.583	25.3	28
-7.083	37.75	25.1	27.7
-7.083	37.917	25	27.6
-7.083	38.083	25.3	27.9
-7.083	38.25	25.5	28.1
-7.083	38.417	25.4	28
-7.083	38.583	25.4	28
-7.083	38.75	25.8	29
-7.083	38.917	25.8	29.3
-7.083	39.083	25.5	29.1
-7.083	39.25	25.2	28.8
-7.083	39.417	24.8	28.4
-7.083	39.583	25.3	28.8
-7.083	39.75	25.1	28.7
-7.083	39.917	24.9	28.5
-7.083	40.083	23.9	27.6
-7.083	40.25	22.4	26.1
-7.083	40.417	21.9	25.5
-7.083	40.583	21.8	25.4
-7.083	40.75	22.4	25.9
-7.083	40.917	22.7	26.2
-7.083	41.083	23	26.4
-7.083	41.25	22.9	26.3
-7.083	41.417	22.2	25.6
-7.083	41.583	22.3	25.7
-7.083	41.75	21.5	24.8
-7.083	41.917	20.1	23.4
-7.083	42.083	18.8	22.1
-7.083	42.25	19.4	22.6
-7.083	42.417	19.6	22.8
-7.083	42.583	17.6	20.9
-7.083	42.75	17.6	20.9
-7.083	42.917	18.5	21.8
-7.083	43.083	17.6	20.9
-7.083	43.25	17.2	20.5
-7.083	43.417	18.5	21.3
-7.083	43.583	19	21.3
-7.083	52.25	15.5	17.6
-7.083	52.417	15.1	17
-7.083	52.583	15.3	17.1
-7.083	52.75	14.8	16.6
-7.083	52.917	15	16.8
-7.083	53.083	15.3	17.1
-7.083	53.25	15.3	17.1
-7.083	53.417	15.1	16.8
-7.083	53.583	15	16.7
-7.083	53.75	14.8	16.4
-7.083	53.917	14.8	16.1
-7.083	54.083	14.9	16
-7.083	54.25	14.7	15.6
-7.083	54.417	14.4	15.3
-7.083	54.583	14.3	15.1
-7.083	54.75	13.6	14.5
-7.083	54.917	13.7	14.7
-7.083	55.083	14.1	15
-7.083	55.25	13.9	14.8
-7.083	58.083	12.5	13.3
-7.083	62.083	10.2	11.2
-7.083	62.25	9.8	10.8
-6.917	37.25	25.9	28.7
-6.917	37.417	25.8	28.6
-6.917	37.583	25.6	28.3
-6.917	37.75	25.2	27.9
-6.917	37.917	24.5	27.2
-6.917	38.083	25.1	27.7
-6.917	38.25	25.3	27.9
-6.917	38.417	25	27.7
-6.917	38.583	25.2	27.8
-6.917	38.75	25.7	29
-6.917	38.917	26	29.7
-6.917	39.083	25.8	29.5
-6.917	39.25	25.5	29.1
-6.917	39.417	25.3	28.9
-6.917	39.583	25.5	29.2
-6.917	39.75	25.4	29.1
-6.917	39.917	25	28.7
-6.917	40.083	24.4	28.1
-6.917	40.25	22.4	26.1
-6.917	40.417	22	25.6
-6.917	40.583	22.1	25.7
-6.917	40.75	22.3	25.8
