"","clim","curve_1","curve_2","curve_3","curve_4","curve_5","curve_6","curve_7","curve_8","curve_9","curve_10","curve_11","curve_12","curve_13","curve_14","curve_15","curve_16","curve_17","curve_18","curve_19","curve_20","curve_21","curve_22","curve_23","curve_24","curve_25","curve_26","curve_27","curve_28","curve_29","curve_30","curve_31","curve_32","curve_33","curve_34","curve_35","curve_36","curve_37","curve_38","curve_39","curve_40","curve_41","curve_42","curve_43","curve_44","curve_45","curve_46"
"21.7",21.7,0.1888,1.06e-23,1.78e-22,2.61e-21,3.46e-20,4.17e-19,4.9e-18,5.49e-17,5.56e-16,5.13e-15,5.13e-15,4.48e-14,3.5e-13,2.65e-12,1.77e-11,1.14e-10,6.61e-10,3.68e-09,1.84e-08,8.61e-08,3.71e-07,1.48e-06,5.44e-06,1.87e-05,5.9e-05,0.000174,0.000476,0.0012,0.00279,0.00604,0.0118,0.0222,0.0373,0.0606,0.0868,0.1208,0.1501,0.1766,0.1896,0.1946,0.1698,0.153,0.1255,0.0926,0.06,0.0324
"21.8",21.8,0.1742,3.45e-24,5.95e-23,9.01e-22,1.23e-20,1.52e-19,1.84e-18,2.12e-17,2.21e-16,2.1e-15,2.1e-15,1.89e-14,1.52e-13,1.18e-12,8.12e-12,5.4e-11,3.21e-10,1.84e-09,9.47e-09,4.55e-08,2.02e-07,8.25e-07,3.13e-06,1.11e-05,3.59e-05,0.000109,0.000307,0.000794,0.0019,0.00424,0.00851,0.0165,0.0285,0.0476,0.0702,0.1005,0.1285,0.1555,0.1718,0.1814,0.1629,0.1509,0.1274,0.0967,0.0645,0.0358
"21.9",21.9,0.1604,1.11e-24,1.97e-23,3.07e-22,4.3e-21,5.49e-20,6.83e-19,8.1e-18,8.68e-17,8.48e-16,8.48e-16,7.84e-15,6.48e-14,5.2e-13,3.68e-12,2.51e-11,1.54e-10,9.05e-10,4.8e-09,2.37e-08,1.08e-07,4.56e-07,1.78e-06,6.47e-06,2.16e-05,6.75e-05,0.000195,0.00052,0.00128,0.00294,0.00607,0.0121,0.0215,0.037,0.0561,0.0826,0.1086,0.1352,0.1537,0.167,0.1542,0.1471,0.1277,0.0997,0.0684,0.0391
"22",22,0.1475,3.53e-25,6.45e-24,1.03e-22,1.49e-21,1.96e-20,2.51e-19,3.06e-18,3.37e-17,3.38e-16,3.38e-16,3.22e-15,2.74e-14,2.26e-13,1.64e-12,1.16e-11,7.27e-11,4.4e-10,2.4e-09,1.22e-08,5.74e-08,2.49e-07,9.97e-07,3.73e-06,1.28e-05,4.12e-05,0.000123,0.000336,0.000852,0.00201,0.00427,0.00875,0.016,0.0283,0.0442,0.067,0.0907,0.1162,0.1359,0.1519,0.1443,0.1415,0.1265,0.1016,0.0717,0.0421
"22.1",22.1,0.1353,1.11e-25,2.08e-24,3.44e-23,5.1e-22,6.89e-21,9.07e-20,1.14e-18,1.29e-17,1.33e-16,1.33e-16,1.31e-15,1.14e-14,9.69e-14,7.26e-13,5.25e-12,3.4e-11,2.12e-10,1.19e-09,6.22e-09,3.01e-08,1.34e-07,5.52e-07,2.13e-06,7.53e-06,2.49e-05,7.62e-05,0.000215,0.00056,0.00136,0.00297,0.00626,0.0118,0.0215,0.0345,0.0537,0.0748,0.0986,0.1186,0.1364,0.1333,0.1346,0.1237,0.1022,0.0742,0.0449
"22.2",22.2,0.1239,3.44e-26,6.65e-25,1.13e-23,1.72e-22,2.39e-21,3.24e-20,4.19e-19,4.88e-18,5.19e-17,5.19e-17,5.23e-16,4.71e-15,4.11e-14,3.17e-13,2.36e-12,1.57e-11,1.01e-10,5.81e-10,3.13e-09,1.56e-08,7.13e-08,3.02e-07,1.2e-06,4.36e-06,1.48e-05,4.67e-05,0.000136,0.000363,0.000907,0.00204,0.00443,0.00858,0.0161,0.0265,0.0426,0.0609,0.0826,0.1023,0.121,0.1217,0.1263,0.1195,0.1016,0.0759,0.0472
"22.3",22.3,0.1133,1.06e-26,2.1e-25,3.66e-24,5.75e-23,8.22e-22,1.15e-20,1.52e-19,1.82e-18,2e-17,2e-17,2.07e-16,1.92e-15,1.72e-14,1.36e-13,1.05e-12,7.16e-12,4.72e-11,2.81e-10,1.55e-09,7.95e-09,3.75e-08,1.64e-07,6.67e-07,2.5e-06,8.73e-06,2.83e-05,8.45e-05,0.000233,0.000598,0.00139,0.00309,0.00616,0.0119,0.0202,0.0333,0.049,0.0684,0.0871,0.106,0.1097,0.1172,0.114,0.0997,0.0766,0.049
"22.4",22.4,0.1034,3.19e-27,6.53e-26,1.17e-24,1.89e-23,2.79e-22,4e-21,5.46e-20,6.74e-19,7.59e-18,7.59e-18,8.09e-17,7.7e-16,7.12e-15,5.81e-14,4.58e-13,3.22e-12,2.19e-11,1.34e-10,7.62e-10,4.01e-09,1.94e-08,8.73e-08,3.67e-07,1.41e-06,5.08e-06,1.69e-05,5.2e-05,0.000148,0.00039,0.000929,0.00213,0.00437,0.00866,0.0152,0.0257,0.039,0.0559,0.0733,0.0918,0.0977,0.1073,0.1074,0.0967,0.0764,0.0503
"22.5",22.5,0.0941,9.55e-28,2.01e-26,3.71e-25,6.17e-24,9.33e-23,1.38e-21,1.94e-20,2.46e-19,2.85e-18,2.85e-18,3.12e-17,3.06e-16,2.91e-15,2.44e-14,1.98e-13,1.43e-12,1e-11,6.3e-11,3.69e-10,2e-09,9.97e-09,4.61e-08,1.99e-07,7.88e-07,2.92e-06,1e-05,3.16e-05,9.23e-05,0.000251,0.000615,0.00145,0.00306,0.00625,0.0112,0.0196,0.0306,0.0452,0.0609,0.0785,0.0859,0.0971,0.1,0.0926,0.0753,0.051
"22.6",22.6,0.0856,2.82e-28,6.1e-27,1.16e-25,1.98e-24,3.09e-23,4.69e-22,6.78e-21,8.85e-20,1.06e-18,1.06e-18,1.19e-17,1.2e-16,1.17e-15,1.01e-14,8.45e-14,6.31e-13,4.53e-12,2.93e-11,1.77e-10,9.84e-10,5.05e-09,2.4e-08,1.07e-07,4.35e-07,1.66e-06,5.84e-06,1.9e-05,5.7e-05,0.00016,0.000402,0.000977,0.00212,0.00445,0.00823,0.0148,0.0237,0.036,0.05,0.0662,0.0746,0.0868,0.092,0.0876,0.0733,0.0511
"22.7",22.7,0.0776,8.23e-29,1.83e-27,3.58e-26,6.3e-25,1.01e-23,1.58e-22,2.34e-21,3.15e-20,3.86e-19,3.86e-19,4.49e-18,4.65e-17,4.68e-16,4.16e-15,3.57e-14,2.74e-13,2.02e-12,1.35e-11,8.35e-11,4.79e-10,2.53e-09,1.24e-08,5.65e-08,2.37e-07,9.28e-07,3.37e-06,1.13e-05,3.48e-05,1e-04,0.00026,0.000649,0.00145,0.00313,0.00596,0.011,0.0182,0.0284,0.0405,0.0553,0.064,0.0766,0.0835,0.0819,0.0705,0.0505
"22.8",22.8,0.0703,2.37e-29,5.43e-28,1.09e-26,1.98e-25,3.26e-24,5.23e-23,8.01e-22,1.11e-20,1.4e-19,1.4e-19,1.67e-18,1.78e-17,1.84e-16,1.68e-15,1.49e-14,1.17e-13,8.92e-13,6.11e-12,3.9e-11,2.3e-10,1.25e-09,6.28e-09,2.95e-08,1.27e-07,5.14e-07,1.92e-06,6.6e-06,2.1e-05,6.21e-05,0.000166,0.000426,0.000979,0.00217,0.00426,0.0081,0.0138,0.0221,0.0324,0.0455,0.0543,0.0668,0.0749,0.0755,0.0669,0.0493
"22.9",22.9,0.0635,6.74e-30,1.59e-28,3.29e-27,6.12e-26,1.04e-24,1.72e-23,2.7e-22,3.84e-21,4.99e-20,4.99e-20,6.13e-19,6.73e-18,7.17e-17,6.74e-16,6.12e-15,4.97e-14,3.88e-13,2.74e-12,1.8e-11,1.09e-10,6.09e-10,3.15e-09,1.53e-08,6.77e-08,2.81e-07,1.08e-06,3.82e-06,1.25e-05,3.8e-05,0.000105,0.000276,0.000653,0.00149,0.00301,0.00588,0.0103,0.017,0.0257,0.037,0.0454,0.0575,0.0664,0.0689,0.0627,0.0476
"23",23,0.0573,1.9e-30,4.6e-29,9.79e-28,1.87e-26,3.27e-25,5.56e-24,9.01e-23,1.32e-21,1.76e-20,1.76e-20,2.22e-19,2.51e-18,2.75e-17,2.66e-16,2.49e-15,2.08e-14,1.67e-13,1.21e-12,8.19e-12,5.11e-11,2.94e-10,1.56e-09,7.79e-09,3.56e-08,1.52e-07,6e-07,2.18e-06,7.35e-06,2.3e-05,6.5e-05,0.000177,0.00043,0.00101,0.0021,0.00422,0.00758,0.0129,0.02,0.0298,0.0376,0.049,0.0581,0.062,0.0581,0.0454
"23.1",23.1,0.0516,5.26e-31,1.31e-29,2.88e-28,5.67e-27,1.02e-25,1.78e-24,2.96e-23,4.46e-22,6.13e-21,6.13e-21,7.97e-20,9.26e-19,1.04e-17,1.04e-16,9.99e-16,8.59e-15,7.1e-14,5.3e-13,3.68e-12,2.37e-11,1.4e-10,7.66e-10,3.92e-09,1.84e-08,8.09e-08,3.29e-07,1.23e-06,4.27e-06,1.38e-05,4e-05,0.000112,0.00028,0.000677,0.00144,0.00299,0.00553,0.00968,0.0155,0.0236,0.0307,0.0411,0.0502,0.0551,0.0532,0.0427
"23.2",23.2,0.0464,1.44e-31,3.7e-30,8.35e-29,1.69e-27,3.12e-26,5.62e-25,9.64e-24,1.49e-22,2.11e-21,2.11e-21,2.82e-20,3.37e-19,3.91e-18,4.01e-17,3.96e-16,3.5e-15,2.98e-14,2.29e-13,1.64e-12,1.08e-11,6.58e-11,3.71e-10,1.95e-09,9.44e-09,4.26e-08,1.78e-07,6.88e-07,2.45e-06,8.12e-06,2.43e-05,6.99e-05,0.00018,0.000448,0.000982,0.00209,0.00398,0.00717,0.0118,0.0185,0.0248,0.0341,0.0429,0.0484,0.0481,0.0397
"23.3",23.3,0.0416,3.91e-32,1.03e-30,2.39e-29,4.99e-28,9.48e-27,1.75e-25,3.1e-24,4.93e-23,7.17e-22,7.17e-22,9.87e-21,1.21e-19,1.45e-18,1.53e-17,1.55e-16,1.41e-15,1.24e-14,9.77e-14,7.18e-13,4.88e-12,3.06e-11,1.77e-10,9.6e-10,4.78e-09,2.22e-08,9.55e-08,3.79e-07,1.39e-06,4.73e-06,1.46e-05,4.31e-05,0.000114,0.000292,0.00066,0.00145,0.00283,0.00525,0.00888,0.0144,0.0197,0.028,0.0362,0.042,0.0429,0.0365
"23.4",23.4,0.0372,1.05e-32,2.84e-31,6.78e-30,1.45e-28,2.84e-27,5.41e-26,9.82e-25,1.61e-23,2.41e-22,2.41e-22,3.41e-21,4.31e-20,5.3e-19,5.74e-18,6.01e-17,5.62e-16,5.07e-15,4.12e-14,3.11e-13,2.18e-12,1.4e-11,8.37e-11,4.66e-10,2.39e-09,1.14e-08,5.05e-08,2.06e-07,7.77e-07,2.73e-06,8.63e-06,2.63e-05,7.17e-05,0.000189,0.000438,0.000988,0.00199,0.00379,0.0066,0.011,0.0155,0.0227,0.0301,0.036,0.0378,0.0331
"23.5",23.5,0.0333,2.76e-33,7.72e-32,1.9e-30,4.18e-29,8.41e-28,1.65e-26,3.08e-25,5.19e-24,7.99e-23,7.99e-23,1.16e-21,1.51e-20,1.91e-19,2.13e-18,2.3e-17,2.21e-16,2.05e-15,1.71e-14,1.33e-13,9.59e-13,6.36e-12,3.9e-11,2.24e-10,1.18e-09,5.79e-09,2.64e-08,1.11e-07,4.3e-07,1.55e-06,5.05e-06,1.58e-05,4.44e-05,0.00012,0.000287,0.000666,0.00138,0.00271,0.00485,0.00829,0.0121,0.0181,0.0248,0.0305,0.0329,0.0296
"23.6",23.6,0.0297,7.21e-34,2.07e-32,5.24e-31,1.19e-29,2.46e-28,4.96e-27,9.52e-26,1.65e-24,2.62e-23,2.62e-23,3.92e-22,5.25e-21,6.82e-20,7.82e-19,8.67e-18,8.59e-17,8.19e-16,7.04e-15,5.64e-14,4.17e-13,2.85e-12,1.8e-11,1.06e-10,5.74e-10,2.9e-09,1.36e-08,5.88e-08,2.35e-07,8.71e-07,2.92e-06,9.41e-06,2.72e-05,7.56e-05,0.000186,0.000444,0.000946,0.00191,0.00352,0.00619,0.00926,0.0143,0.0201,0.0255,0.0283,0.0262
"23.7",23.7,0.0264,1.86e-34,5.5e-33,1.43e-31,3.34e-30,7.1e-29,1.47e-27,2.91e-26,5.2e-25,8.46e-24,8.46e-24,1.31e-22,1.8e-21,2.4e-20,2.84e-19,3.23e-18,3.3e-17,3.23e-16,2.86e-15,2.36e-14,1.79e-13,1.26e-12,8.17e-12,4.96e-11,2.76e-10,1.44e-09,6.94e-09,3.08e-08,1.27e-07,4.84e-07,1.67e-06,5.53e-06,1.64e-05,4.7e-05,0.000119,0.000292,0.00064,0.00133,0.00252,0.00456,0.00703,0.0112,0.0162,0.0211,0.0241,0.0229
"23.8",23.8,0.0235,4.73e-35,1.44e-33,3.85e-32,9.25e-31,2.03e-29,4.32e-28,8.79e-27,1.61e-25,2.71e-24,2.71e-24,4.29e-23,6.08e-22,8.37e-21,1.02e-19,1.19e-18,1.25e-17,1.26e-16,1.15e-15,9.72e-15,7.62e-14,5.49e-13,3.67e-12,2.29e-11,1.31e-10,7.04e-10,3.49e-09,1.6e-08,6.74e-08,2.65e-07,9.4e-07,3.21e-06,9.79e-06,2.89e-05,7.52e-05,0.00019,0.000428,0.000915,0.00178,0.00332,0.00526,0.00861,0.0128,0.0172,0.0202,0.0198
"23.9",23.9,0.0208,1.19e-35,3.73e-34,1.03e-32,2.53e-31,5.71e-30,1.25e-28,2.62e-27,4.95e-26,8.54e-25,8.54e-25,1.39e-23,2.03e-22,2.88e-21,3.59e-20,4.33e-19,4.67e-18,4.85e-17,4.55e-16,3.96e-15,3.19e-14,2.37e-13,1.63e-12,1.05e-11,6.18e-11,3.4e-10,1.74e-09,8.16e-09,3.55e-08,1.43e-07,5.24e-07,1.84e-06,5.77e-06,1.75e-05,4.69e-05,0.000122,0.000283,0.000621,0.00125,0.00239,0.00389,0.00655,0.01,0.0138,0.0167,0.0169
"24",24,0.0184,2.96e-36,9.53e-35,2.7e-33,6.86e-32,1.59e-30,3.59e-29,7.72e-28,1.5e-26,2.66e-25,2.66e-25,4.47e-24,6.71e-23,9.76e-22,1.25e-20,1.56e-19,1.73e-18,1.85e-17,1.78e-16,1.6e-15,1.32e-14,1.01e-13,7.15e-13,4.72e-12,2.87e-11,1.62e-10,8.53e-10,4.13e-09,1.84e-08,7.67e-08,2.88e-07,1.04e-06,3.36e-06,1.05e-05,2.89e-05,7.73e-05,0.000185,0.000417,0.000861,0.0017,0.00285,0.00493,0.00777,0.011,0.0137,0.0142
