date,state,county,locality,habitat,latitude,longitude,masl,subfamily,ant.genus,ant.species,code,collection,collector
1/1/1900,massachusetts,essex,lynn,NA,NA,NA,NA,Formicinae,Camponotus,novaeboracensis,camnov,Wheeler ; Ants of NE,davis
1/1/1900,rhode island,providence,providence,NA,NA,NA,NA,Formicinae,Camponotus,novaeboracensis,camnov,Wheeler ; Ants of NE,davis
1/1/1900,rhode island,providence,lonsdale,NA,NA,NA,NA,Myrmicinae,Crematogaster,lineolata,crelin,Wheeler ; Ants of NE,davis
1/1/1900,rhode island,providence,providence,NA,NA,NA,NA,Formicinae,Formica,dolosa,fordol,Wheeler ; Ants of NE,davis
1/1/1900,rhode island,washington,kingston,NA,NA,NA,NA,Formicinae,Formica,integra,forint,Wheeler ; Ants of NE,davis
1/1/1900,rhode island,providence,providence,NA,NA,NA,NA,Formicinae,Formica,integra,forint,Wheeler ; Ants of NE,davis
1/1/1900,rhode island,providence,providence,NA,NA,NA,NA,Formicinae,Formica,subsericea,forsub3,Wheeler ; Ants of NE,davis
1/1/1900,rhode island,providence,providence,NA,NA,NA,NA,Formicinae,Lasius,americanus,lasame,Wheeler ; Ants of NE,davis
1/1/1900,rhode island,providence,providence,NA,NA,NA,NA,Formicinae,Lasius,claviger,lascla,Wheeler ; Ants of NE,davis
1/1/1900,rhode island,providence,providence,NA,NA,NA,NA,Myrmicinae,Monomorium,emarginatum,monema,Wheeler ; Ants of NE,davis
1/1/1900,rhode island,providence,providence,NA,NA,NA,NA,Myrmicinae,Myrmica,americana,myrame2,Wheeler ; Ants of NE,davis
1/1/1900,rhode island,providence,providence,NA,NA,NA,NA,Dolichoderinae,Tapinoma,sessile,tapses,Wheeler ; Ants of NE,davis
1/1/1900,massachusetts,essex,magnolia,NA,NA,NA,NA,Dolichoderinae,Dolichoderus,taschenbergi,doltas,Wheeler ; Ants of NE,deane
1/1/1900,maine,york,elms,NA,NA,NA,NA,Formicinae,Lasius,brevicornis,lasbre,Wheeler ; Ants of NE,deane
1/1/1900,connecticut,fairfield,brookfield,NA,NA,NA,NA,Formicinae,Camponotus,americanus,camame,Wheeler ; Ants of CT,Dickerson
1/1/1900,connecticut,fairfield,brookfield,NA,NA,NA,NA,Formicinae,Formica,obscuriventris,forobs,Wheeler ; Ants of CT,Dickerson
