lon,lat
-70.758,41.483
-70.75,41.37
-70.75,41.37
-70.64,41.35
-70.64,41.35
-70.64,41.35
-70.64,41.35
-70.64,41.35
-70.64,41.36
-70.64,41.36
-70.64,41.36
-70.63,41.37
-71.61,41.41
-71.61,41.41
-71.61,41.41
-71.61,41.41
-71.61,41.41
-71.61,41.41
-70.8,41.32
-70.8,41.32
-71.61,41.41
-71.61,41.41
-71.61,41.41
-71.61,41.41
-71.61,41.41
-71.61,41.41
-71.61,41.41
-70.65,41.45
-70.65,41.45
-70.65,41.45
-70.65,41.45
-70.65,41.45
-70.65,41.45
-70.65,41.45
-70.65,41.45
-70.65,41.45
-70.65,41.45
-70.65,41.45
-70.65,41.45
-70.65,41.45
-70.65,41.45
-70.65,41.45
-70.65,41.45
-70.65,41.45
-70.65,41.45
-70.65,41.45
-70.65,41.45
-70.65,41.45
-70.65,41.45
-70.758,41.483
-69.7708,43.7394
-69.3333,44.5978
-69.3333,44.5978
-69.3308,44.6078
-72.52,41.46
-72.5,41.34
-71.9,41.61
-72.01,41.89
-70.09,43.82
-70.88,44.4
-70.88,44.4
-68.94,44.43
-70.035,44.238
-72.93,41.31
-72.93,41.31
-69.958,43.786
-72.2099,41.795
-72.2099,41.795
-72.2099,41.795
-72.2099,41.795
-72.25,41.8083
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.9507,43.3823
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-72.25,41.8083
-72.78,41.85
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-71.5071,41.4903
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-69.1867,45.0133
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-73.2819,41.9847
-73.2819,41.9847
-73.2819,41.9847
-73.2819,41.9847
-73.2819,41.9847
-73.2819,41.9847
-73.2819,41.9847
-73.2819,41.9847
-73.2819,41.9847
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-69.2083,44.26
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-72.731,41.2949
-72.729,41.2868
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-68.2372,44.3662
-72.2561,41.962
-72.25,41.9646
-72.511,41.3065
-70.8,43.61
-72.5516,41.4768
-73.22,41.98
-73.22,41.98
-73.22,41.98
-73.22,41.98
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-72.26,41.9278
-72.2561,41.962
-72.252,41.9529
-72.25,41.9646
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-69.09,44.06
-71.9213,41.6022
-71.9213,41.6022
-71.9213,41.6022
-71.9213,41.6022
-71.9213,41.6022
-71.9213,41.6022
-71.9213,41.6022
-71.9213,41.6022
-71.9213,41.6022
-71.9213,41.6022
-71.9213,41.6022
-71.9213,41.6022
-71.9213,41.6022
-71.9213,41.6022
-71.9213,41.6022
-70.8,43.61
-69.3333,44.5978
-69.3333,44.5978
-69.3333,44.5978
-69.3333,44.5978
-69.3333,44.5978
-68.7,44.29
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-72.93,41.31
-72.8,41.55
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-70.8,43.61
-72.3038,41.7698
-72.3038,41.7698
